CustomerID,SubscriptionType,MonthlyCharges,ContractEndDate,ServiceUsage,Gender,Age,TotalTransactions,Churn
C00001,Basic,27.57413853991257,2025-10-27,10.0,Female,51.0,2.0,1.0
C00002,Premium,31.87903439536347,2025-01-30,,Female,31.0,,0.0
C00003,Standard,58.413706902750896,2025-03-15,5.0,Female,72.0,12.0,0.0
C00004,Standard,31.264200060394305,2025-06-21,10.0,Female,54.0,11.0,1.0
C00005,Basic,78.0287015432872,2025-03-25,8.0,Female,24.0,18.0,1.0
C00006,Basic,48.597636065506265,2025-03-14,15.0,Male,32.0,27.0,0.0
C00007,Basic,51.74153723107096,2025-08-20,12.0,Female,36.0,34.0,0.0
C00008,Premium,44.7313151233894,2025-10-17,,Male,71.0,11.0,1.0
C00009,Standard,,2025-05-07,9.0,Male,36.0,8.0,1.0
C00010,Standard,68.39412714841161,2025-03-26,8.0,Male,34.0,18.0,1.0
C00011,Basic,57.17088390746556,2025-09-11,9.0,Female,65.0,13.0,1.0
C00012,Premium,,2025-06-01,8.0,Female,57.0,9.0,1.0
C00013,Premium,45.933152703084176,2025-11-08,8.0,Male,30.0,5.0,1.0
C00014,Basic,62.109826192895795,2025-01-07,9.0,Female,74.0,41.0,0.0
C00015,Basic,43.67919471429343,2025-11-03,11.0,Male,38.0,14.0,0.0
C00016,Basic,50.04465236972661,2025-05-16,12.0,Male,60.0,6.0,0.0
C00017,Basic,44.798090049193256,2025-07-03,10.0,Female,18.0,8.0,0.0
C00018,Standard,41.64309588059371,2025-11-10,13.0,Male,35.0,19.0,0.0
C00019,Basic,37.95412852034248,2025-12-07,6.0,Male,41.0,9.0,0.0
C00020,Basic,60.285948314768916,2025-08-15,4.0,Female,47.0,15.0,1.0
C00021,Standard,,2025-11-21,14.0,Female,24.0,29.0,1.0
C00022,Basic,79.87507040171793,2025-09-01,7.0,Male,44.0,39.0,1.0
C00023,Basic,30.246995918012228,2025-09-21,9.0,Male,,16.0,0.0
C00024,Basic,83.73895035916591,2025-09-08,9.0,Female,44.0,,1.0
C00025,Basic,44.0250858663867,2025-06-19,,Male,20.0,10.0,1.0
C00026,Standard,63.58109714618307,2025-02-23,10.0,Female,69.0,12.0,1.0
C00027,Basic,34.79719821963641,2025-05-12,15.0,Male,70.0,9.0,0.0
C00028,Standard,52.92177982113322,2025-11-11,7.0,Male,33.0,13.0,0.0
C00029,Standard,56.6851503921563,2025-04-04,10.0,Female,,,1.0
C00030,Basic,27.6100845617796,2025-02-15,11.0,Female,62.0,12.0,0.0
C00031,Standard,63.7729980026661,2025-12-16,10.0,Female,74.0,17.0,1.0
C00032,Basic,85.66094538120613,2025-04-09,10.0,Female,,,0.0
C00033,Basic,46.626256522985464,2025-08-22,9.0,Female,50.0,14.0,1.0
C00034,Premium,86.15002539576705,2025-09-26,6.0,Female,61.0,4.0,1.0
C00035,Premium,46.34649218098153,2025-02-06,10.0,Female,62.0,34.0,1.0
C00036,Premium,70.2357062560828,2025-03-16,12.0,Female,43.0,1.0,1.0
C00037,Basic,20.585666220135536,2025-02-27,9.0,Female,56.0,32.0,0.0
C00038,Basic,131.5693537002473,,8.0,Male,20.0,,1.0
C00039,Standard,90.94057793721896,2025-07-07,10.0,Male,21.0,12.0,1.0
C00040,Basic,44.619581230873614,2025-05-19,16.0,Male,50.0,47.0,0.0
C00041,Basic,22.718677755326503,2025-05-23,5.0,Female,67.0,22.0,0.0
C00042,Basic,56.10552837881624,2025-04-18,9.0,Female,22.0,12.0,0.0
C00043,Basic,28.063022559376577,2025-08-09,7.0,Female,46.0,31.0,0.0
C00044,Premium,59.737766223561515,2025-05-25,6.0,Male,69.0,12.0,1.0
C00045,Basic,58.9476223651627,2025-12-12,12.0,Female,28.0,6.0,0.0
C00046,Standard,34.310853676254,2025-01-05,9.0,Male,20.0,5.0,1.0
